road,id,model_type,name,lat,lon,length,condition,road_lrp,nearest_road,distance_to_nearest_road
N1,N1_187,link,Km post missing,23.3086944,91.2864163,1.0,,N1LRP112,N102_2,26.532355218595978
N1,N1_190,link,Km post missing,23.3006111,91.290333,0.3509999999999991,,N1LRP113,N102_2,27.471105256359433
N1,N1_192,link,Km post missing,23.2919163,91.2922219,0.6970000000000027,,N1LRP114,N102_2,28.33083981177518
N1,N1_194,link,Km post missing,23.283583,91.2952219,0.7390000000000043,,N1LRP115,N102_2,29.23928203418593
N1,N1_196,link,Km post missing,23.2768882,91.3011944,0.7790000000000106,,N1LRP116,N102_2,30.201738695253724
N1,N1_198,link,Km post missing,23.2686382,91.3049722,0.5310000000000059,,N1LRP117,N104_6,29.588946398206822
N1,N1_200,link,Km post missing,23.2601111,91.3072778,0.19599999999999795,,N1LRP118,N104_6,28.612074212587643
N1,N1_204,link,Km post missing,23.2511944,91.3086389,0.1740000000000066,,N1LRP119,N104_6,27.61495612485944
N1,N1_206,link,Km post missing,23.243083,91.3119167,0.16100000000000136,,N1LRP120,N104_6,26.660536729412275
N1,N1_210,link,Km post missing,23.2343052,91.3131667,0.19899999999999807,,N1LRP121,N104_6,25.68093523261758
N1,N1_213,link,Km post missing,23.2253882,91.3135833,0.058000000000006935,,N1LRP122,N104_6,24.706585120727034
N1,N1_215,link,Km post missing,23.2165556,91.3149167,0.6200000000000045,,N1LRP123,N104_6,23.72020267564546
N1,N1_217,link,Km post missing,23.2078889,91.3159722,0.6140000000000043,,N1LRP124,N104_6,22.759099908909853
N1,N1_219,link,Km post missing,23.1990274,91.3170549,0.6810000000000116,,N1LRP125,N104_6,21.77709171714759
N1,N1_221,link,Km post missing,23.1909997,91.3192493,0.6450000000000102,,N1LRP126,N104_6,20.856734625269198
N1,N1_223,link,Km post missing,23.1826382,91.3210827,0.5670000000000073,,N1LRP127,N104_6,19.909793344047838
N1,N1_225,link,Ctg 133 km,23.172916,91.3205271,1.0309999999999917,,N1LRP128,N104_6,18.8814501729896
N1,N1_227,link,Km post missing,23.1641389,91.3214993,0.9669999999999987,,N1LRP129,N104_7,17.910968967668296
N1,N1_229,link,Km post missing,23.1554167,91.3232771,0.929000000000002,,N1LRP130,N104_7,16.92510444127793
N1,N1_231,link,Km post missing,23.1471663,91.3266938,0.7040000000000077,,N1LRP131,N104_7,15.952933780772634
N1,N1_234,link,Km post missing,23.1382219,91.3263049,0.08600000000001273,,N1LRP132,N104_7,14.993318986297306
N1,N1_236,link,Km post missing,23.1295827,91.3284993,0.42199999999999704,,N1LRP133,N104_7,14.006860258501048
N1,N1_238,link,Km post missing,23.1213327,91.3320549,0.4650000000000034,,N1LRP134,N104_7,13.030346909021496
N1,N1_240,link,"Ctg 127 km,Feni 16 km",23.1191382,91.3330827,0.0759999999999934,,N1LRP135,N104_7,12.768995659414927
N1,N1_242,link,Km post missing,23.1113611,91.3378052,0.5739999999999839,,N1LRP136,N104_6,11.815151884081411
N1,N1_244,link,Km post missing,23.1035,91.3422497,0.49799999999999045,,N1LRP137,N104_6,10.849780493494661
N1,N1_247,link,Km post missing,23.095583,91.3464441,0.22700000000000387,,N1LRP138,N104_6,9.88863555165852
N1,N1_249,link,Km post missing,23.0876108,91.3508889,0.679000000000002,,N1LRP139,N104_6,8.919668468836232
N1,N1_252,link,Ctg 122 km,23.0792493,91.3558333,0.36000000000001364,,N1LRP140,N104_6,7.9051461489428325
N1,N1_254,link,Km post missing,23.0712493,91.3599722,0.8360000000000127,,N1LRP141,N104_6,6.955860062118078
N1,N1_256,link,Ctg 103 km,23.0635278,91.3616389,0.7830000000000155,,N1LRP142,N104_6,6.081340019462965
N1,N1_258,link,Ctg 102 km,23.0538611,91.3637222,0.7980000000000018,,N1LRP143,N104_6,4.98697121773256
